Employee ID,First Name,Last Name,Gender,State,City,Education Level,Birth Date,Hire Date,Term Date,Department,Job Title,Salary,Performance Rating
EMP0001,Arjun,Sharma,Male,Uttar Pradesh,Noida,Diploma,2/18/1988,4/5/2023,,Marketing,Marketing Executive,869176,Needs Improvement
EMP0002,Vivaan,Sharma,Male,Delhi,New Delhi,Diploma,5/2/1996,10/1/2021,1/17/2023,Operations,Operations Executive,1000800,Needs Improvement
EMP0003,Aman,Patel,Male,Madhya Pradesh,Bhopal,10+2,1/8/2002,1/14/2024,,Marketing,SEO Specialist,606778,Average
EMP0004,Rohan,Mehta,Male,Gujarat,Ahmedabad,10+2,7/10/1993,2/1/2016,,Finance,Financial Analyst,1096335,Excellent
EMP0005,Riya,Jain,Female,Delhi,New Delhi,10+2,5/20/1997,4/15/2018,12/31/2025,Operations,Operations Manager,855397,Good
EMP0006,Aditya,Sharma,Male,Tamil Nadu,Coimbatore,10+2,3/23/1990,9/19/2024,,Sales,Sales Manager,725435,Average
EMP0007,Rahul,Singh,Male,Gujarat,Ahmedabad,Graduate,9/28/2000,8/31/2022,6/18/2024,Operations,Operations Executive,810086,Good
EMP0008,Rahul,Patel,Male,Rajasthan,Udaipur,Diploma,5/10/2000,8/21/2018,,HR,HR Executive,1094151,Average
EMP0009,Anjali,Agarwal,Female,Delhi,New Delhi,Graduate,10/8/1989,5/8/2022,,Sales,Sales Manager,399811,Average
EMP0010,Rohan,Mehta,Male,Telangana,Hyderabad,Post Graduate,2/2/1998,6/24/2019,,HR,HR Executive,784277,Needs Improvement
EMP0011,Aditya,Sharma,Male,Delhi,New Delhi,Diploma,10/7/2002,8/19/2022,,Operations,Operations Executive,653457,Needs Improvement
EMP0012,Isha,Patel,Female,Telangana,Hyderabad,10+2,4/4/2000,1/31/2023,,Marketing,SEO Specialist,1055934,Average
EMP0013,Arjun,Agarwal,Male,Rajasthan,Jaipur,Post Graduate,1/27/1985,2/5/2023,12/31/2025,Operations,Operations Executive,782342,Excellent
EMP0014,Ankit,Jain,Male,Madhya Pradesh,Indore,Diploma,5/22/1993,7/21/2023,,Operations,Operations Executive,878038,Average
EMP0015,Kavya,Sharma,Female,Delhi,New Delhi,Graduate,5/16/1990,8/26/2015,,Operations,Operations Executive,339814,Needs Improvement
EMP0016,Aditya,Jain,Male,Karnataka,Bengaluru,Post Graduate,5/1/1997,11/7/2016,,Operations,Operations Manager,472086,Good
EMP0017,Ankit,Kumar,Male,Gujarat,Surat,Post Graduate,9/19/1987,10/12/2017,,IT,Data Analyst,272056,Good
EMP0018,Nisha,Mehta,Female,Maharashtra,Mumbai,10+2,2/19/1990,10/4/2015,,Finance,Accountant,789131,Good
EMP0019,Siddharth,Patel,Male,Tamil Nadu,Chennai,Post Graduate,6/14/1990,10/19/2023,,Sales,Sales Executive,348907,Excellent
EMP0020,Pooja,Singh,Female,Rajasthan,Udaipur,Post Graduate,5/9/2001,8/10/2015,,IT,Data Analyst,1013587,Average
EMP0021,Arjun,Mehta,Male,Tamil Nadu,Chennai,Post Graduate,2/23/1988,9/25/2019,10/15/2022,Finance,Financial Analyst,511941,Excellent
EMP0022,Riya,Jain,Female,Delhi,New Delhi,10+2,2/4/1987,6/14/2023,,HR,HR Manager,759231,Needs Improvement
EMP0023,Karan,Kumar,Male,Maharashtra,Mumbai,Post Graduate,1/18/1985,5/19/2019,,Sales,Sales Manager,693555,Needs Improvement
EMP0024,Rohan,Mehta,Male,Uttar Pradesh,Noida,10+2,12/28/1997,4/2/2023,,IT,QA Engineer,578838,Excellent
EMP0025,Vivaan,Malhotra,Male,West Bengal,Kolkata,10+2,5/23/1996,11/25/2015,12/25/2018,IT,QA Engineer,321262,Good
EMP0026,Anjali,Verma,Female,Madhya Pradesh,Indore,10+2,11/22/1998,12/2/2015,,Marketing,SEO Specialist,523432,Good
EMP0027,Priya,Mehta,Female,Uttar Pradesh,Lucknow,Diploma,1/25/2000,3/28/2022,,Sales,Sales Manager,1038387,Excellent
EMP0028,Aarav,Patel,Male,Madhya Pradesh,Indore,10+2,1/22/1997,5/23/2017,,Finance,Accountant,615962,Excellent
EMP0029,Aman,Singh,Male,Uttar Pradesh,Noida,Post Graduate,9/14/2003,2/3/2021,6/26/2025,Operations,Operations Executive,950305,Average
EMP0030,Arjun,Gupta,Male,Uttar Pradesh,Noida,10+2,8/26/2001,3/16/2021,,Finance,Financial Analyst,884210,Good
EMP0031,Priya,Mehta,Female,Uttar Pradesh,Lucknow,Graduate,12/24/2003,7/28/2015,8/9/2017,Marketing,SEO Specialist,1119634,Average
EMP0032,Vivaan,Sharma,Male,Gujarat,Ahmedabad,Graduate,8/16/1988,4/25/2023,12/31/2025,Operations,Operations Manager,838153,Excellent
EMP0033,Arjun,Verma,Male,Karnataka,Bengaluru,Graduate,1/24/1998,3/13/2021,,Sales,Sales Executive,293860,Average
EMP0034,Neha,Sharma,Female,Gujarat,Ahmedabad,Diploma,12/17/1999,2/26/2016,,Operations,Operations Manager,900810,Good
EMP0035,Aman,Gupta,Male,Karnataka,Mysuru,10+2,1/9/1989,4/5/2023,,Sales,Sales Executive,529766,Good
EMP0036,Arjun,Kumar,Male,Maharashtra,Pune,Diploma,6/23/1989,2/27/2024,,Finance,Financial Analyst,1110394,Good
EMP0037,Aman,Sharma,Male,Tamil Nadu,Coimbatore,Graduate,4/2/1991,9/10/2024,,Finance,Financial Analyst,922642,Needs Improvement
EMP0038,Aditi,Singh,Female,Maharashtra,Mumbai,Graduate,1/2/1989,7/6/2021,,IT,Software Engineer,875550,Needs Improvement
EMP0039,Neha,Singh,Female,Rajasthan,Jaipur,Post Graduate,12/7/1997,2/17/2017,,IT,QA Engineer,707239,Excellent
EMP0040,Sneha,Jain,Female,Tamil Nadu,Coimbatore,Post Graduate,7/28/1986,6/13/2022,12/31/2025,Operations,Operations Manager,945612,Excellent
EMP0041,Ankit,Jain,Male,Uttar Pradesh,Lucknow,Graduate,1/10/1994,10/26/2022,,Operations,Operations Executive,451158,Needs Improvement
EMP0042,Anjali,Gupta,Female,Madhya Pradesh,Bhopal,Post Graduate,4/16/1997,5/7/2024,,Finance,Financial Analyst,470392,Needs Improvement
EMP0043,Nisha,Malhotra,Female,Gujarat,Surat,Post Graduate,12/2/1994,7/30/2022,12/21/2025,Operations,Operations Manager,1082291,Good
EMP0044,Aditya,Agarwal,Male,Telangana,Hyderabad,10+2,5/11/2003,6/4/2023,,Marketing,SEO Specialist,485552,Good
EMP0045,Rohan,Sharma,Male,Maharashtra,Mumbai,Post Graduate,9/17/1998,7/12/2024,,Sales,Sales Manager,1179181,Good
EMP0046,Anjali,Patel,Female,Rajasthan,Jaipur,Diploma,9/19/1999,9/17/2022,,IT,Data Analyst,479471,Good
EMP0047,Sneha,Patel,Female,Maharashtra,Nagpur,Diploma,9/22/1987,2/13/2020,,Sales,Sales Manager,1041937,Needs Improvement
EMP0048,Isha,Jain,Female,Rajasthan,Udaipur,Diploma,9/6/2001,8/29/2024,,Sales,Sales Manager,1038295,Good
EMP0049,Siddharth,Jain,Male,West Bengal,Kolkata,Graduate,11/13/1994,11/14/2015,1/27/2020,HR,HR Manager,602161,Average
EMP0050,Aditi,Verma,Female,Karnataka,Bengaluru,Diploma,8/4/1993,10/13/2022,6/29/2025,Marketing,Marketing Executive,317348,Needs Improvement
